"id_train","x","y","z"
1,0.136339,0.515206,-1.348110382
2,0.359976,0.608026,-2.73624442
3,0.212299,0.104616,3.075016864
4,0.650797,0.146365,3.517264467
5,0.868025,0.835248,0.653917738
6,0.177844,0.956939,-3.853033236
7,0.483818,0.726818,-1.963275414
8,0.874281,0.349203,-2.700704432
9,0.183978,0.833433,-4.175452254
10,0.879332,0.344778,-2.605589305
11,0.272923,0.16318,2.721312975
12,0.465293,0.577874,-1.102706769
13,0.226169,0.500298,0.669009463
14,0.953735,0.871077,0.508716458
15,0.144732,0.263218,0.073471017
16,0.140505,0.363165,4.468026477
17,0.692546,0.025834,1.265258983
18,0.720165,0.768322,-0.061025201
19,0.455177,0.082673,7.853288195
20,0.723766,0.16556,0.60476927
21,0.188098,0.743587,-2.047691214
22,0.818372,0.800259,0.255042882
23,0.433448,0.007477,0.910912715
24,0.051102,0.336217,1.599863791
25,0.667781,0.824262,0.232872696
26,0.234897,0.231418,2.861000839
27,0.956985,0.525246,0.321051775
28,0.553414,0.231754,1.303634663
29,0.026505,0.628519,1.051544177
30,0.607141,0.142306,0.957024021
31,0.021241,0.015305,-3.526138855
32,0.143755,0.309743,0.688251703
33,0.373236,0.926787,-1.930043987
34,0.12546,0.513634,-0.958759012
35,0.792554,0.772412,0.254391852
36,0.44831,0.546715,-1.635434913
37,0.626703,0.556909,-2.62618789
38,0.734463,0.410712,-3.721656339
39,0.668009,0.595377,0.884657203
40,0.202655,0.234409,0.191991418
41,0.968948,0.020966,-3.471778641
42,0.445197,0.352468,1.340797798
43,0.737118,0.285389,-4.189160489
44,0.267002,0.163134,3.019942442
45,0.846159,0.676921,0.924286539
46,0.480629,0.096574,5.870875308
47,0.613352,0.092851,-0.00207672
48,0.493935,0.265324,1.41279218
49,0.134783,0.307362,0.157954689
50,0.171023,0.781384,-2.733175491
51,0.394858,0.856931,-2.678064754
52,0.845991,0.329351,-3.377946525
53,0.816129,0.778439,0.363144378
54,0.63563,0.891661,0.15241194
55,0.631327,0.581949,-1.721472561
56,0.743008,0.686213,-0.206581126
57,0.396002,0.771008,-3.758502598
58,0.823835,0.070268,-0.360824765
59,0.093233,0.389609,3.519131651
60,0.584863,0.002167,1.999749351
61,0.1411,0.27013,0.111267253
62,0.18088,0.263706,0.380355135
63,0.327047,0.445579,1.019849961
64,0.677012,0.822644,0.172312287
65,0.813321,0.154955,-2.687858935
66,0.165927,0.297322,1.652581968
67,0.846128,0.596963,0.991516315
68,0.632578,0.579522,-1.777831744
69,0.737072,0.326146,-4.195778806
70,0.750027,0.15697,-0.763012074
71,0.842741,0.748638,0.368559931
72,0.141146,0.402014,4.709708613
73,0.806409,0.000366,1.128541395
74,0.44918,0.575555,-1.409165507
75,0.974212,0.629648,0.76139718
76,0.701274,0.370871,-4.01966307
77,0.967987,0.810086,0.272399522
78,0.641062,0.467582,-3.736147072
79,0.988174,0.223514,-2.822971131
80,0.903517,0.945098,1.364790871
81,0.948394,0.618662,1.132814282
82,0.635019,0.528145,-2.806713678
83,0.836484,0.545144,-0.171518153
84,0.794064,0.285832,-4.295312836
85,0.632822,0.887083,0.153005577
86,0.794156,0.348959,-4.014886778
87,0.608087,0.910292,-0.012265764
88,0.951156,0.17612,-3.443452677
89,0.738613,0.091859,1.802623526
90,0.320439,0.776593,-4.0864767
91,0.528847,0.945235,0.067371745
92,0.652293,0.498085,-2.8356592
93,0.605234,0.422095,-4.092903075
94,0.828244,0.402014,-2.871332297
95,0.039414,0.817716,0.508957849
96,0.188785,0.250477,0.168873968
97,0.897292,0.500603,0.65181924
98,0.075044,0.607065,1.381308261
99,0.623575,0.084749,0.140603307
100,0.602152,0.78645,-0.856684029
101,0.850935,0.12491,-1.500673133
102,0.064378,0.012161,1.567814795
103,0.358755,0.21326,3.325164065
104,0.806653,0.499519,-1.655493949
105,0.749813,0.166445,-0.949150232
106,0.680415,0.404578,-3.795114918
107,0.42208,0.940459,-0.985509913
108,0.194018,0.291646,3.606738886
109,0.512703,0.076905,3.154772541
110,0.711223,0.63447,1.217927111
111,0.775311,0.256016,-4.375811463
112,0.301061,0.036683,4.279816969
113,0.347784,0.593713,-1.935754287
114,0.045029,0.659892,1.767219001
115,0.27715,0.925994,-2.567408348
116,0.234913,0.537392,2.710304165
117,0.066682,0.877943,-1.925767446
