x,y,z1,z2
0.215778,0.103731,0.220484,0.043985
0.655726,0.140749,-0.100334,-0.749803
0.568139,0.248859,-0.199674,-0.694281
0.982162,0.219318,0.959305,-0.31528
0.199527,0.06537,-0.567022,-0.840326
0.860807,0.349554,1.07968,-0.386913
0.935393,0.342,-0.261491,0.22189
0.600748,0.331685,-0.607557,-1.402322
0.272221,0.171237,0.125157,-1.142402
0.708858,0.248112,0.187828,0.547857
0.127718,0.265629,0.101912,-0.864109
0.125612,0.373144,0.707959,-1.125759
0.689799,0.030426,-0.396436,-0.619598
0.440742,0.419226,0.208792,-0.962417
0.464302,0.084749,-0.541387,-0.508658
0.719738,0.156298,0.484821,-0.255976
0.597086,0.169726,0.15721,-0.838375
0.408927,0.016754,-0.228678,-2.149378
0.047669,0.341283,0.426747,-1.569594
0.892149,0.440681,0.805144,1.546957
0.427344,0.461082,0.585851,-1.797654
0.221958,0.235187,-0.04586,0.561886
0.222095,0.420996,0.403308,0.064515
0.561059,0.229847,0.020785,-0.494993
0.606455,0.143465,-0.360984,-0.59934
0.589075,0.392691,0.500429,-0.116714
0.019471,0.013535,-1.068829,-0.966374
0.152941,0.310124,0.546087,0.607724
0.682094,0.336324,0.372944,-0.358152
0.275959,0.101335,0.38672,-1.327022
0.710323,0.486748,0.692648,-0.489837
0.521508,0.156741,-0.819464,-0.310313
0.478874,0.130602,-0.06213,-0.963008
0.705699,0.401526,-0.150082,-0.431294
0.740246,0.410956,0.672584,-0.209538
0.493004,0.196628,-0.763022,-2.305483
0.190936,0.247929,0.139377,-0.930754
0.980499,0.01706,0.232253,0.026682
0.449912,0.349142,0.136417,-0.099452
0.73463,0.28748,-0.117705,0.07907
0.269184,0.168078,-0.015477,0.576497
0.28986,0.319478,0.704432,-0.617109
0.473732,0.105898,-0.197543,-0.686351
0.62237,0.093263,-0.179988,-0.412283
0.468925,0.267613,-0.359044,-0.912144
0.143572,0.301823,0.432359,-0.720177
0.212451,0.215396,-0.370063,-0.467608
0.86627,0.322972,0.637936,0.237153
0.857572,0.451682,0.242505,-0.152342
0.67866,0.443778,0.699634,-0.51578
0.624125,0.125322,-0.33769,-0.918758
0.679057,0.005951,-0.367183,-0.60727
0.390723,0.248356,-0.675452,-1.51236
0.143023,0.354406,0.042363,0.394287
0.178012,0.159045,-0.091203,-1.138326
0.80206,0.46424,1.304496,0.418005
0.816037,0.073991,0.601897,-1.17113
0.076341,0.392523,0.620669,-1.276537
0.579751,0.004959,0.462087,-0.725091
0.149569,0.273289,0.455481,0.142048
0.166629,0.270115,0.41456,-0.360035
